Disease,Image_Path,Description
Eczema,dermnet_dataset/Eczema/Eczema_10.jpg,"The provided image shows a widespread distribution of multiple, small, erythematous macules and thin plaques across the trunk of an infant. These lesions are discrete and vary in size, appearing as reddish-pink patches against the surrounding skin. The rash is diffuse, covering a significant portion of the abdomen and chest area without a specific clustering pattern. This clinical presentation is characteristic of a generalized inflammatory skin response, consistent with a widespread flare of eczema in a pediatric patient."
Eczema,dermnet_dataset/Eczema/Eczema_11.jpg,"The image shows widespread skin inflammation across the arms, characterized by numerous small, erythematous papules and discrete red patches. Many of these lesions exhibit hemorrhagic crusting and pinpoint bleeding, which are primary indicators of significant physical trauma from scratching. The distribution of the rash is extensive and suggestive of a severe, acute flare-up of eczema on the extremities. This clinical presentation highlights a compromised skin barrier with multiple sites of active irritation and excoriation."
Eczema,dermnet_dataset/Eczema/Eczema_12.jpg,"The provided image shows a localized area of intense skin inflammation involving the oral commissure and the surrounding perioral region. There are prominent erythematous patches characterized by significant weeping and the formation of yellowish-brown serous crusts. The skin surface appears raw and compromised, with visible fine scaling and small red papules scattered around the main area of irritation. This clinical presentation is highly suggestive of an acute flare of eczema that may be complicated by a secondary bacterial infection."
Eczema,dermnet_dataset/Eczema/Eczema_13.jpg,"shows a localized area of skin inflammation affecting the periorbital and infraorbital regions. The affected skin exhibits prominent erythema and a cluster of small, raised papules extending from the lower eyelid onto the cheek. There is visible fine scaling and a rough, xerotic texture throughout the inflamed patch, indicating a compromised skin barrier. This clinical presentation is characteristic of atopic dermatitis, showing localized irritation on sensitive facial skin."
Eczema,dermnet_dataset/Eczema/Eczema_14.jpg,"hows skin inflammation localized within the flexural folds of the neck and upper chest area. There is visible erythema and linear excoriations, which are characteristic signs of physical trauma from persistent scratching. The affected skin appears thickened with prominent markings and some localized yellowish crusting, suggesting a chronic inflammatory process. This clinical presentation is typical of flexural atopic dermatitis, where moisture and friction often exacerbate the underlying condition."
,,
,,
,,
,,
Vitiligo,dermnet_dataset/Vitiligo/Vitiligo_2.jpg,"The image displays several well-demarcated, milky-white depigmented macules on the dorsal surface of the hand. These patches show a complete loss of melanin, creating a sharp contrast against the surrounding pigmented skin. The largest lesion is irregular in shape and appears to be spreading across the metacarpophalangeal joints. No signs of inflammation, scaling, or redness are present within the depigmented areas."
Vitiligo,dermnet_dataset/Vitiligo/Vitiligo_3.jpg,"The photograph shows bilateral, symmetrical depigmentation affecting the volar wrists and the proximal regions of the palms. These white patches are sharply defined and appear smooth, with no evidence of skin thickening or irritation. The distribution is characteristic of acrofacial vitiligo, which frequently involves the extremities and distal limbs. Small islands of repigmentation or original pigment are visible within the larger white areas."
Vitiligo,dermnet_dataset/Vitiligo/Vitiligo_4.jpg,"The image illustrates large, confluent depigmented plaques located on the lower back and lumbar region. The borders of these lesions are distinct and irregular, showcasing the progressive nature of the pigment loss. The skin within the patches remains texture-neutral, lacking any associated rash or secondary changes. This extensive involvement suggests a generalized form of the condition affecting a large surface area of the trunk."
Vitiligo,dermnet_dataset/Vitiligo/Vitiligo_5.jpg,"The clinical close-up reveals a localized area of leukotrichia involving the eyelashes of the upper eyelid. Several hair follicles have lost their pigment, resulting in distinct white hairs interspersed with the remaining dark lashes. The underlying eyelid skin also shows subtle signs of depigmentation, indicating the destruction of melanocytes at the hair bulb. This finding often correlates with more persistent or difficult-to-treat localized vitiligo."
Vitiligo,dermnet_dataset/Vitiligo/Vitiligo_6.jpg,"The image depicts significant depigmentation of the mucosal and perioral skin around the lips. The white patches extend across the vermilion border, creating a prominent lack of color in the central facial region. The surrounding bearded area shows that the depigmentation is confined primarily to the skin surface in this view. There is a clear absence of any crusting or inflammatory response, which is typical for stable vitiligo lesions."
Vitiligo,dermnet_dataset/Vitiligo/Vitiligo_7.jpg,"This high-magnification view shows a ""trichrome"" appearance where three distinct shades of skin color are visible. A central zone of complete depigmentation is surrounded by an intermediate tan border before reaching the normally pigmented skin. This pattern suggests an active phase of the condition where the loss of melanocytes is actively progressing outward. The skin texture remains otherwise normal, with preserved follicular openings visible throughout the patch."
Vitiligo,dermnet_dataset/Vitiligo/Vitiligo_8.jpg,"The photograph shows extensive facial depigmentation, primarily involving the forehead and malar regions of a female patient. Large, symmetrical patches of white skin replace the natural pigment, particularly around the eyes and across the temples. There is no visible scaling, and the skin appears healthy despite the total absence of melanin in the affected zones. This presentation demonstrates the significant aesthetic impact of vitiligo when it involves the central face."
Vitiligo,dermnet_dataset/Vitiligo/Vitiligo_9.jpg,"The image shows a localized patch of depigmentation at the anterior hairline, accompanied by poliosis or whitening of the hair. The scalp skin is milky-white and well-defined, contrasting sharply with the adjacent pigmented forehead. The hair emerging from the depigmented zone has lost all color, which indicates that the autoimmune process has affected the melanocytes within the hair follicles. The skin surface is smooth and free of any signs of dandruff or inflammation."
,,
,,
Warts,dermnet_dataset/Warts/Warts_2.jpg,"The image shows multiple common warts (verruca vulgaris) located on the dorsal surface and knuckles of the fingers. These are firm, raised papules with a rough, hyperkeratotic surface that disrupts the normal skin lines. The lesions vary in size and appear skin-colored to slightly tan against the patient's natural skin tone. This distribution is common due to frequent contact and minor trauma to the hands."
Warts,dermnet_dataset/Warts/Warts_3.jpg,"The photograph displays numerous small, flat-topped papules scattered across a limb, characteristic of plane warts (verruca plana). These lesions are much smoother and flatter than common warts and appear slightly reddish or pink. They are often numerous and can spread in a linear pattern through scratching or shaving. The surrounding skin shows mild irritation but remains otherwise healthy."
Warts,dermnet_dataset/Warts/Warts_4.jpg,"This close-up reveals a filiform wart, which is characterized by long, thread-like projections growing from a narrow base. This specific lesion shows a high degree of keratinization, giving the stalks a white, crusty, and horn-like appearance. These types of warts frequently appear on the face, particularly near the eyelids or lips, though this one is on a broader skin surface. The base of the wart appears slightly erythematous (reddened)."
Warts,dermnet_dataset/Warts/Warts_5.jpg,"The image shows several flat warts arranged in a linear distribution, a phenomenon known as the Koebner response. This occurs when the virus spreads along a line of minor skin trauma, such as a scratch. The papules are skin-colored, slightly raised, and have a smooth surface compared to other wart types. They are located on a fair-skinned area, making the slight elevation and texture change noticeable."
Warts,dermnet_dataset/Warts/Warts_6.jpg,"This image displays a periungual wart, which grows around or under the fingernail. The lesion has a rough, thickened texture and has caused some distortion to the normal nail fold. Such warts can be difficult to treat because they can extend deep into the nail bed. The white, scaly surface is a result of excessive keratin production caused by the HPV infection."
Warts,dermnet_dataset/Warts/Warts_7.jpg,"The photograph shows a subungual wart that has significantly disrupted the structure of the toenail. The wart tissue is visible under the nail plate, causing it to lift and creating a thickened, crumbly appearance. Small black dots, which are thrombosed capillaries, are visible within the rough, yellowish-white mass. This location often causes discomfort due to the pressure from footwear."
Warts,dermnet_dataset/Warts/Warts_8.jpg,"The close-up illustrates a large, multi-lobed common wart with a classic ""cauliflower"" texture. The lesion is composed of several smaller, rounded segments fused together into a single prominent mass. It has a pebbly, hyperkeratotic surface and appears slightly lighter than the surrounding skin. A few fine hairs are visible growing through or around the lesion, indicating it has not destroyed the underlying follicles."
Warts,dermnet_dataset/Warts/Warts_9.jpg,"The image shows a common wart on the side of a finger near the nail, featuring prominent ""wart seeds."" These tiny black specks are actually clotted blood vessels that supply the growth. The lesion is well-demarcated with a rough, irregular border and a central depression. The surrounding skin shows some dryness and scaling typical of the hyperkeratotic response to the virus."
Warts,dermnet_dataset/Warts/Warts_10.jpg,"The photograph displays a large cluster of mosaic warts on the knee and surrounding thigh. Multiple individual warts have grown so close together that they form a large, confluent plaque of thickened skin. The surface is extremely rough and varies in color from skin-tone to a grayish-white. This extensive involvement suggests a persistent infection that has spread locally over time."
Warts,dermnet_dataset/Warts/Warts_11.jpg,"The final image shows plantar warts (verruca plantaris) on the soles of both feet. These warts are flattened by the pressure of walking and are surrounded by thick, callus-like skin. The lesions appear as yellowish, thickened patches with a central rough area. Because they grow inward due to body weight, they are often much deeper and more painful than warts found elsewhere on the body."
Warts,dermnet_dataset/Warts/Warts_12.jpg,"The image displays multiple scattered plantar warts on the weight-bearing surface of the forefoot. These lesions are firm, flat, and exhibit a rough, yellowish-white surface that interrupts the natural papillary lines of the skin. Several small, pinpoint black dots are visible within the larger lesions, representing thrombosed capillaries characteristic of the virus. The surrounding skin appears slightly thickened, which is a common protective response to the internal growth of the wart."
Warts,dermnet_dataset/Warts/Warts_13.jpg,"This photograph shows a large, confluent plaque of mosaic warts alongside a smaller, isolated satellite wart on the sole. The central mass is highly hyperkeratotic and presents a deeply fissured, irregular surface with visible brown-to-black pinpoint specks. This large plaque is formed by the merging of many individual warts, making it more resistant to treatment due to its size and depth. The pressure of standing has forced the lesion to grow inward rather than upward, often causing significant discomfort for the patient."
Warts,dermnet_dataset/Warts/Warts_14.jpg,"The close-up image reveals a cluster of small, early-stage plantar warts emerging through the thick skin of the sole. These lesions are well-demarcated and show the classic disruption of normal skin ridges, which appear to ""stop"" at the border of the wart. Each small papule has a granular, white center and contains tiny thrombosed blood vessels. This appearance is typical for a localized spread of the Human Papillomavirus (HPV) across a small area of the plantar surface."
,,
,,
Impetigo,dermnet_dataset/Impetigo/Impetigo_2.jpg,"The chin and beard area of this adult male exhibit dense, adherent honey-colored crusts covering a large surface area. Small red inflammatory papules are visible around the edges of the primary crusts, indicating an outward bacterial spread. Facial hair often traps moisture and bacteria, creating an environment that allows the infection to worsen. This case is a classic representation of non-bullous impetigo affecting adults in hair-bearing regions."
Impetigo,dermnet_dataset/Impetigo/Impetigo_3.jpg,"Multiple scattered circular red plaques are spread across the child's torso and limbs, representing the early-to-mid stages of the disease. Some lesions are surrounded by a fine ""collarette"" of scale at the edges of the red sores after the blisters have ruptured. The wide distribution suggests auto-inoculation, likely caused by the child scratching a sore and touching other body parts. The appearance of the skin shows significant irritation that requires medical intervention to prevent further spreading."
Impetigo,dermnet_dataset/Impetigo/Impetigo_4.jpg,"A dense infection is visible around the mouth and lips, featuring moist golden crusts firmly stuck to the lip borders. Underneath the peeling crusts, the skin appears raw, red, and is weeping with a clear serous fluid. This area is highly contagious due to constant mouth movement and the ease of transferring infectious fluids to others. This clinical presentation demonstrates the most common form of impetigo, appearing with very distinctive ""honey-colored"" crusts."
Impetigo,dermnet_dataset/Impetigo/Impetigo_5.jpg,"The child's back is covered with well-defined round erosions that have yellowish centers and red borders. Many of these lesions have a ""punched-out"" sunken appearance, which is characteristic of the severe form known as ecthyma. The skin surrounding the lesions shows intense redness, indicating an active and deep inflammatory response to the infection. The crusts in this image appear drier and more brownish compared to the usual moist appearance seen in facial cases."
Impetigo,dermnet_dataset/Impetigo/Impetigo_6.jpg,"This close-up captures the rapid transition from the small vesicle stage to the stage of open, ruptured sores. Two small blisters filled with clear fluid are seen next to a larger, older lesion that has already started forming crusts. The skin immediately around the blisters is pale pink, indicating localized irritation that precedes full-blown skin inflammation. This image summarizes the fast life cycle of the infection, where new blisters can appear within hours of the first."
Impetigo,dermnet_dataset/Impetigo/Impetigo_7.jpg,"The infection is sharply concentrated around the nose and upper lip with very thick and irregularly shaped crusting. Dark crusts made of dried discharge block the base of the nostrils, which may cause significant discomfort for the patient. The infection follows a weeping pattern where fluids have dried in accumulated layers, creating a bumpy and protruding surface. Small secondary spots are visible on the chin and cheeks, signaling the start of new infection sites."
Impetigo,dermnet_dataset/Impetigo/Impetigo_8.jpg,"This infant suffers from extensive dark crusts that lean toward black due to minor bleeding when the blisters ruptured. Circular ring-like lesions are visible on the forehead and cheeks, which can sometimes lead to a misdiagnosis of ringworm. Dried discharge covers most of the mid-face and chin area, reflecting the severity of bacterial spread in this age group. This condition in infants requires immediate medical attention to prevent systemic complications or dehydration."
Impetigo,dermnet_dataset/Impetigo/Impetigo_9.jpg,"The image shows a deeper form of the infection on the leg, featuring a deep ulcer with a hard crust. The central lesion is characterized by raised borders tinged with purple, indicating the bacteria have penetrated into the dermis layer. This presentation is typical of ecthyma, which often leaves scars behind due to the depth of the skin injury. Small secondary scars and sores in the process of healing are visible next to the main ulcer, suggesting a chronic infection."
Impetigo,dermnet_dataset/Impetigo/Impetigo_10.jpg,"The lesions on this child's face are concentrated around the eyes, nose, and corners of the mouth with visible swelling. The lesion at the corner of the mouth shows a shiny red surface with a yellow crust beginning to form over it. Dried discharge is noticed on the eyelashes, suggesting the infection may also be irritating the eye area. The skin around the nose is tight and shiny, a sign that usually precedes skin breakdown and the formation of new crusts."
,,
,,
Acne,dermnet_dataset/Acne/Acne_2.jpg,The image Acne_2.jpg shows skin inflammation characterized by erythema and small pustules located near the oral commissure. The clinical presentation includes yellowish crusting and scaling within the skin folds at the corner of the mouth. These features are common symptoms of conditions like angular cheilitis or perioral dermatitis. It is important to consult a healthcare professional for an accurate diagnosis and appropriate treatment.
Acne,dermnet_dataset/Acne/Acne_3.jpg,"This image displays mild inflammatory acne featuring several small, red erythematous papules scattered around the chin and lower lip area. The lesions are primarily superficial and do not show signs of significant pus formation or deep cyst development. The surrounding skin appears relatively clear, though there are subtle signs of early comedones (clogged pores) beginning to form. This presentation is common in early-stage hormonal or adolescent acne."
Acne,dermnet_dataset/Acne/Acne_4.jpg,"The photograph shows a moderate case of inflammatory acne with a mix of red papules and several active pustules (pimples containing yellowish pus). The lesions are concentrated on the chin and the perioral region, appearing more inflamed and tender than in the previous stage. Significant erythema (redness) is visible across the lower face, indicating widespread skin irritation and bacterial activity. Some older lesions have started to flatten, leaving behind temporary red marks known as post-inflammatory erythema."
Acne,dermnet_dataset/Acne/Acne_5.jpg,"This case illustrates severe inflammatory acne characterized by large, painful-looking nodules and deep-seated papules around the mouth and chin. Some of the lesions appear to be merging together, which is a sign of more aggressive cystic activity within the deeper layers of the skin. There is evidence of significant swelling and deep purple discoloration, suggesting potential for scarring if not treated properly. The moisture on the lips and surrounding skin may indicate the use of topical treatments or active weeping from ruptured lesions."
Acne,dermnet_dataset/Acne/Acne_6.jpg,"The image focuses on a cluster of inflammatory pustules located on the upper lip and chin of a patient with facial hair. These pustules have distinct yellow centers filled with purulent material, surrounded by a ring of red, inflamed skin. The presence of hair follicles in the area may contribute to folliculitis, which can often occur alongside or mimic standard acne. The lesions are localized but show high levels of active inflammation."
Acne,dermnet_dataset/Acne/Acne_7.jpg,"This photograph displays a variety of non-inflammatory and inflammatory acne lesions, including small whiteheads (closed comedones) and minor papules. The skin texture appears uneven due to a high density of clogged pores that have not yet become fully inflamed. A few tiny pustules are visible, but the primary feature is the ""bumpy"" appearance of the skin surface. This type of acne is often persistent and requires consistent exfoliation and targeted topical therapy."
Acne,dermnet_dataset/Acne/Acne_8.jpg,"The patient in this image shows a combination of active red papules and several dark spots where previous lesions have healed. These dark spots are known as post-inflammatory hyperpigmentation, which is common in skin that has recently cleared an acne breakout. The active lesions are scattered across the chin and lower cheek, appearing moderately inflamed. The overall skin tone is uneven, reflecting a cycle of ongoing breakouts and gradual healing."
Acne,dermnet_dataset/Acne/Acne_9.jpg,"This close-up clearly shows a cluster of ""open comedones,"" commonly referred to as blackheads, located near the corner of the mouth. The dark color is caused by the oxidation of melanin and sebum when exposed to air, not by dirt. There is very little redness or inflammation in this specific area, characterizing this as non-inflammatory comedonal acne. A single, larger red papule below the blackheads suggests that some comedones may eventually progress into inflammatory stages."
Acne,dermnet_dataset/Acne/Acne_10.jpg,"The image features several large, raised inflammatory papules on the upper lip and chin, some of which appear quite firm and deep. These lesions lack a visible ""head"" or pus point, indicating they are deeper nodules rather than superficial pustules. The skin in the affected area is thickened and red, showing a localized but intense immune response. A dark mole is also visible on the chin, which is unrelated to the acne breakout but important for clinical mapping."
Acne,dermnet_dataset/Acne/Acne_11.jpg,"This photograph shows severe inflammatory acne across the forehead, featuring a high density of red papules and several deeper nodules. The lesions are clustered together, creating large areas of continuous inflammation and swelling near the hairline. Some of the older spots show signs of crusting and early healing, while new lesions continue to emerge. This distribution is often associated with friction from hair, hats, or excessive oil production in the T-zone."
Acne,dermnet_dataset/Acne/Acne_12.jpg,"The final image displays extensive inflammatory acne covering the cheek and jawline, consisting of numerous papules, pustules, and deep nodules. The skin is visibly oily and shows a ""cobblestone"" texture due to the high volume of active and healing lesions. There is significant post-inflammatory discoloration throughout the area, ranging from bright red to dark brown. This level of severity is typical of cystic acne, which carries a high risk of permanent atrophic (pitted) scarring."
Acne,dermnet_dataset/Acne/Acne_13.jpg,"This image shows a moderate to severe case of inflammatory acne concentrated on the cheek and jawline of a patient with light facial hair. The skin exhibits a large area of confluent erythema (redness) and several raised, red papules and deeper nodules that appear tender. There are visible signs of ""pitting"" or atrophic scarring where previous lesions have healed, indicating a more chronic or cystic nature. The overall texture of the skin is uneven, with a mix of active inflammation and post-inflammatory hyperpigmentation."
Acne,dermnet_dataset/Acne/Acne_14.jpg,"The photograph displays a high density of non-inflammatory and inflammatory lesions across the forehead and T-zone. Numerous small whiteheads (closed comedones) give the skin a bumpy appearance, accompanied by scattered red papules. The skin appears notably oily (seborrheic), which is a common underlying factor for this type of breakout distribution. Several older lesions have evolved into small red spots, showing a cycle of continuous new eruptions alongside healing skin."
,,
,,
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_2.jpg,"This image displays a classic nodular BCC. It presents as a pearly, pinkish-red papule with a central ""ulcerated"" or depressed core that contains dried blood. The edges of the lesion are rounded and translucent, and you can see fine, thread-like blood vessels (telangiectasia) on the surface. This is often referred to as a ""rodent ulcer"" due to its gnawed-out appearance."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_3.jpg,"The photograph shows a pigmented BCC located near the nasolabial fold (the line between the nose and mouth). Unlike the typical pink lesion, this one contains dark melanin, giving it a speckled brown and black appearance. It has an irregular, raised border and a central crust. Pigmented BCCs can sometimes be mistaken for melanoma, but they retain the characteristic ""waxy"" or ""rolled"" border of a basal cell tumor."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_4.jpg,"In this image, a small, early-stage BCC is visible on the sensitive skin near the inner corner of the eye. It appears as a shiny, reddish-pink patch with a slightly raw, glistening surface. The surrounding skin shows signs of chronic sun damage, such as solar lentigines (age spots). BCCs in this location require careful management to protect the underlying tear ducts and eye structures."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_5.jpg,"This lesion is a large nodular BCC that has become significantly inflamed. It features a prominent, smooth, dome-shaped ""pearl"" on the right side and a larger, flatter, ulcerated area on the left. The deep red color and translucent quality are hallmark signs. These lesions are slow-growing but can cause significant local tissue destruction if left untreated."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_6.jpg,"This image illustrates a superficial BCC. It appears as a large, well-defined, scaly red patch. Unlike the nodular type, this grows horizontally along the surface of the skin. It can often be mistaken for eczema or psoriasis, but it does not respond to moisturizers or topical steroids. There are darker, crusty areas within the patch suggesting focal points of deeper invasion."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_7.jpg,"The photograph displays a smaller superficial BCC patch on sun-damaged skin. It is characterized by its thin, slightly raised, ""thread-like"" border and a central area of pink, shiny skin. The irregular shape and persistent redness are key indicators. This type is most commonly found on the trunk and limbs rather than the face."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_8.jpg,"This image shows a morphoeic (sclerosing) BCC on the cheek. This is a more aggressive subtype that often looks like a flat, firm scar or a thickened patch of skin. It is flesh-colored or pale pink and lacks the clear borders of other BCCs, making it difficult to determine how far it has spread just by looking at the surface."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_9.jpg,"This case displays multiple BCCs (labeled A through F) on a patient's back. This presentation is common in individuals with fair skin and a history of significant sun exposure. The lesions vary in appearance from small red papules to larger scaly patches, demonstrating how BCC can manifest in different forms simultaneously on the same patient."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_10.jpg,"A classic nodular BCC is shown here on the scalp, nestled among graying hair. It features the characteristic ""rolled border"" and a central hemorrhagic (bloody) crust. Scalp BCCs can be difficult to detect early because they are often hidden by hair, only becoming noticeable when they start to bleed or crust repeatedly."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_11.jpg,"The final image shows a recurrent or late-stage BCC on the forehead. The skin is thin, shiny, and shows significant scarring (fibrosis) from either a previous growth or a morphoeic-style spread. The area is uneven with mottled redness and telangiectasia, highlighting the chronic nature of the condition and the extent of sun damage in the surrounding tissue."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_12.jpg,"This image presents a morphoeic (sclerosing) BCC located on the lower eyelid and upper cheek area. The lesion appears as a flat, indurated (hardened) patch of skin that is paler than the surrounding tissue, resembling a localized scar. The borders are ill-defined, and the skin surface is shiny with visible telangiectasia (fine blood vessels). This subtype is particularly subtle and can cause significant local invasion before it is clinically obvious, especially in high-risk areas like the periorbital region."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_13.jpg,"The photograph shows a small nodular BCC on the upper lip. It presents as a pearly, flesh-colored papule with a slightly translucent quality. There is a small, central hemorrhagic crust and a faint ""rolled"" edge. The surrounding skin shows significant solar elastosis (yellowing and thickening due to chronic sun damage), which is a common background for the development of such malignancies. The lesion's location on the vermilion border of the lip requires precise surgical intervention to preserve both function and aesthetics."
Skin Cancer,dermnet_dataset/Skin Cancer/Skin Cancer_14.jpg,"This case illustrates an advanced, ulcerated BCC positioned just above the ear. The lesion is characterized by a deep, central ""rodent ulcer"" with a raw, red base and a prominent, raised, pearly border. Significant erythema (redness) and swelling are present in the surrounding skin, suggesting an active inflammatory response. The lesion has a high potential for local destruction of the ear cartilage and surrounding soft tissue if it continues to enlarge."
,,
,,
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_2.jpg,"This image displays a severe case of acute allergic contact dermatitis on the hand and wrist. The skin is intensely erythematous (red) and swollen, with prominent lichenification (thickening of the skin) on the wrist. There are visible fissures and deep creases, suggesting chronic irritation or a repeat exposure that has compromised the skin barrier. The clear line of demarcation on the arm suggests the reaction was caused by something worn or applied to the hand and wrist area, such as a glove or a specific topical chemical."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_3.jpg,"The photograph shows a positive patch test reaction to Thiuram, a chemical often found in rubber products like gloves or elastic. The reaction is characterized by a localized, well-defined red papule with central crusting and slight blistering. This is a classic diagnostic tool used by dermatologists to identify specific allergens. The surrounding skin is clear, highlighting that this is a targeted allergic response rather than a general skin condition."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_4.jpg,"This case illustrates a subacute contact dermatitis presenting with scattered, itchy-looking red macules and patches. The skin surface appears ""shiny"" and tight, which can indicate underlying edema (swelling) or the early stages of scaling. The irregular distribution of the spots suggests a splash pattern or contact with an airborne irritant. There is a yellowish-brown tint in some areas, which may be due to ""weeping"" (exudate) that has dried on the skin surface, a common feature of active eczema-like reactions."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_5.jpg,"The photograph shows perioral and chin dermatitis, characterized by widespread erythema and a ""weeping"" or crusty surface. The skin appears intensely inflamed with yellowish serous crusts, which can indicate a secondary bacterial infection or a highly exudative allergic phase. The inflammation is concentrated around the mouth and beard area, suggesting a reaction to shaving products, toothpaste, or other facial topicals. The intense redness and broken skin barrier indicate a high level of patient discomfort and pruritus (itching)."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_6.jpg,"This image illustrates chronic contact dermatitis on the dorsal surfaces of both feet. The skin exhibits significant lichenification (thickening and hardening) and a grayish-white scale, which are signs of long-term inflammation and repeated scratching. Scattered red papules and excoriations (scratch marks) are visible throughout the thickened patches. This presentation is often seen in cases of ""shoe dermatitis,"" where the skin reacts to chemicals or dyes found in footwear materials."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_7.jpg,"In this photograph, an acute inflammatory reaction is visible on the knee and lower thigh. The central area shows honey-colored crusting and oozing, which is typical of an eczematous reaction that has become ""impetiginized"" or infected. Surrounding this central zone is a broad band of bright erythema that mirrors the shape of a patch or bandage previously applied to the skin. The skin surface looks tight and shiny, indicating significant underlying tissue swelling."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_8.jpg,"This image shows allergic contact dermatitis on the face, specifically affecting the cheek and jawline. The area is covered in a diffuse, bright red rash with focal points of yellow crusting, particularly near the corner of the mouth. The uneven distribution and localized intensity suggest a reaction to a specific cosmetic or skin-care product. The skin's texture appears rough and irritated, consistent with an acute eczematous flare."
Contact Dermatitis,dermnet_dataset/Contact Dermatitis/Contact Dermatitis_9.jpg,"The lesion in this image shows an annular (ring-shaped) eczematous patch on the skin. The border is raised, red, and scaly, while the center shows some clearing, which can sometimes mimic fungal infections like ringworm. However, the presence of fine vesicles and the overall ""juicy"" appearance of the redness points toward an allergic contact trigger. The surrounding skin shows very fine, pinpoint red papules, suggesting the reaction is spreading."
